order_id,product_id,add_to_cart_order,reordered,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_name,aisle_id,department_id,aisle,department,total_orders,avg_add_to_cart_order,avg_reorder_rate,avg_days_since_prior_order,product_sales,sales_per_week,sales_per_day
2944923.0,118.0,5.0,0.0,242.0,prior,10.0,Monday,12.0,6.0,Ground Turkey Chub,34.0,1.0,frozen meat seafood,frozen,1,8.55766,0.55985,11.145801453199072,1949,250,2
1961788.0,118.0,6.0,0.0,912.0,prior,2.0,Thursday,9.0,6.0,Ground Turkey Chub,34.0,1.0,frozen meat seafood,frozen,1,8.55766,0.55985,11.145801453199072,1949,201,1
1300157.0,118.0,3.0,0.0,3690.0,prior,9.0,Friday,11.0,6.0,Ground Turkey Chub,34.0,1.0,frozen meat seafood,frozen,3,8.55766,0.55985,11.145801453199072,1949,343,5
975045.0,118.0,3.0,1.0,3690.0,prior,15.0,Tuesday,21.0,2.0,Ground Turkey Chub,34.0,1.0,frozen meat seafood,frozen,3,8.55766,0.55985,11.145801453199072,1949,345,54
2897378.0,83.0,2.0,0.0,3690.0,prior,21.0,Saturday,19.0,11.0,100% Whole Wheat Pita Bread,128.0,3.0,tortillas flat bread,bakery,3,8.55766,0.55985,11.145801453199072,3749,488,4
500991.0,118.0,4.0,0.0,7789.0,prior,3.0,Sunday,15.0,3.0,Ground Turkey Chub,34.0,1.0,frozen meat seafood,frozen,2,8.55766,0.55985,11.145801453199072,1949,356,19
413093.0,118.0,3.0,1.0,7789.0,prior,4.0,Friday,17.0,12.0,Ground Turkey Chub,34.0,1.0,frozen meat seafood,frozen,2,8.55766,0.55985,11.145801453199072,1949,343,38
559819.0,118.0,13.0,0.0,9216.0,prior,11.0,Thursday,14.0,30.0,Ground Turkey Chub,34.0,1.0,frozen meat seafood,frozen,1,8.55766,0.55985,11.145801453199072,1949,201,8
2677506.0,118.0,8.0,0.0,9694.0,prior,13.0,Wednesday,8.0,7.0,Ground Turkey Chub,34.0,1.0,frozen meat seafood,frozen,15,8.55766,0.55985,11.145801453199072,1949,250,15
636576.0,118.0,3.0,1.0,9694.0,prior,17.0,Wednesday,11.0,6.0,Ground Turkey Chub,34.0,1.0,frozen meat seafood,frozen,15,8.55766,0.55985,11.145801453199072,1949,250,30
2771239.0,118.0,3.0,1.0,9694.0,prior,19.0,Wednesday,13.0,28.0,Ground Turkey Chub,34.0,1.0,frozen meat seafood,frozen,15,8.55766,0.55985,11.145801453199072,1949,250,92
2383813.0,118.0,4.0,1.0,9694.0,prior,23.0,Tuesday,21.0,5.0,Ground Turkey Chub,34.0,1.0,frozen meat seafood,frozen,15,8.55766,0.55985,11.145801453199072,1949,345,54
2734881.0,1.0,3.0,0.0,9694.0,prior,2.0,Sunday,17.0,30.0,Chocolate Sandwich Cookies,61.0,19.0,cookies cakes,snacks,15,8.55766,0.55985,11.145801453199072,17344,2099,352
2164394.0,1.0,2.0,1.0,9694.0,prior,4.0,Thursday,18.0,8.0,Chocolate Sandwich Cookies,61.0,19.0,cookies cakes,snacks,15,8.55766,0.55985,11.145801453199072,17344,2522,70
3354551.0,1.0,1.0,1.0,9694.0,prior,5.0,Thursday,15.0,7.0,Chocolate Sandwich Cookies,61.0,19.0,cookies cakes,snacks,15,8.55766,0.55985,11.145801453199072,17344,2522,185
1381165.0,1.0,2.0,1.0,9694.0,prior,6.0,Thursday,21.0,14.0,Chocolate Sandwich Cookies,61.0,19.0,cookies cakes,snacks,15,8.55766,0.55985,11.145801453199072,17344,2522,35
